Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,70.0,100.0,100.0,95.0,95.0,95.0,98.0,0.0,100.0,100.0,100.0,90.0,90.0,30.0,50.0,45.0,70.0,90.0,55.0,100.0,70.0,85.0,76.0,50.0,95.0,95.0,100.0,90.0,90.0,100.0,100.0,100.0,95.0,90.0,100.0,20.0,95.0,85.0,85.0,85.0,95.0,98.0,95.0,95.0,80.0,80.0,65.0,10.0,100.0,100.0
2,65.0,100.0,100.0,95.0,100.0,95.0,97.0,0.0,100.0,100.0,100.0,95.0,90.0,35.0,30.0,40.0,85.0,90.0,55.0,100.0,70.0,85.0,80.0,60.0,95.0,90.0,100.0,90.0,90.0,100.0,95.0,97.0,100.0,85.0,100.0,20.0,95.0,85.0,85.0,85.0,95.0,100.0,95.0,95.0,80.0,80.0,50.0,10.0,100.0,95.0
3,68.0,95.0,100.0,95.0,100.0,100.0,98.0,0.0,100.0,100.0,100.0,90.0,90.0,10.0,60.0,30.0,75.0,90.0,35.0,100.0,70.0,85.0,80.0,70.0,95.0,90.0,100.0,90.0,85.0,100.0,100.0,100.0,100.0,90.0,100.0,30.0,95.0,85.0,85.0,85.0,95.0,100.0,100.0,95.0,75.0,85.0,50.0,10.0,100.0,100.0
4,70.0,98.0,100.0,95.0,100.0,100.0,95.0,0.0,100.0,100.0,100.0,90.0,85.0,20.0,40.0,30.0,80.0,90.0,45.0,100.0,75.0,80.0,80.0,75.0,95.0,90.0,100.0,90.0,90.0,100.0,100.0,98.0,100.0,85.0,100.0,30.0,95.0,88.0,80.0,85.0,95.0,98.0,95.0,95.0,80.0,85.0,45.0,10.0,100.0,100.0
5,65.0,98.0,100.0,95.0,100.0,100.0,95.0,0.0,100.0,100.0,100.0,90.0,90.0,30.0,40.0,40.0,50.0,90.0,55.0,100.0,65.0,85.0,85.0,60.0,95.0,90.0,100.0,95.0,90.0,100.0,100.0,100.0,100.0,85.0,100.0,30.0,100.0,85.0,80.0,85.0,95.0,95.0,96.0,90.0,70.0,85.0,50.0,10.0,100.0,100.0
6,70.0,100.0,100.0,95.0,100.0,95.0,98.0,0.0,100.0,100.0,98.0,90.0,90.0,20.0,40.0,40.0,80.0,90.0,60.0,100.0,70.0,85.0,85.0,60.0,95.0,90.0,100.0,90.0,95.0,100.0,100.0,100.0,100.0,90.0,100.0,20.0,95.0,85.0,85.0,85.0,98.0,100.0,95.0,95.0,80.0,80.0,50.0,10.0,100.0,100.0
7,65.0,98.0,100.0,95.0,98.0,95.0,95.0,0.0,95.0,100.0,100.0,90.0,85.0,30.0,50.0,30.0,50.0,90.0,45.0,100.0,60.0,85.0,85.0,50.0,95.0,90.0,100.0,95.0,90.0,100.0,100.0,98.0,100.0,85.0,100.0,30.0,95.0,85.0,85.0,85.0,95.0,100.0,95.0,90.0,75.0,85.0,55.0,10.0,100.0,100.0
8,60.0,95.0,100.0,95.0,100.0,95.0,95.0,0.0,100.0,100.0,100.0,90.0,90.0,30.0,50.0,40.0,80.0,95.0,55.0,100.0,65.0,85.0,85.0,60.0,95.0,90.0,100.0,90.0,95.0,98.0,100.0,98.0,100.0,90.0,100.0,20.0,95.0,85.0,80.0,85.0,95.0,98.0,95.0,90.0,75.0,80.0,50.0,10.0,100.0,98.0
9,65.0,100.0,95.0,95.0,95.0,100.0,98.0,0.0,100.0,100.0,100.0,95.0,90.0,30.0,50.0,30.0,80.0,90.0,50.0,100.0,70.0,85.0,75.0,60.0,95.0,90.0,100.0,95.0,95.0,100.0,100.0,95.0,100.0,80.0,100.0,30.0,95.0,85.0,80.0,85.0,95.0,100.0,95.0,95.0,75.0,80.0,55.0,5.0,100.0,100.0
10,70.0,98.0,100.0,95.0,100.0,95.0,98.0,0.0,100.0,100.0,100.0,90.0,90.0,30.0,30.0,40.0,80.0,95.0,70.0,100.0,70.0,85.0,80.0,50.0,95.0,95.0,100.0,90.0,85.0,100.0,100.0,100.0,100.0,85.0,100.0,25.0,95.0,85.0,80.0,85.0,95.0,100.0,98.0,95.0,75.0,85.0,50.0,10.0,100.0,100.0
