Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,65.0,100.0,100.0,95.0,98.0,100.0,95.0,0.0,100.0,100.0,100.0,95.0,90.0,30.0,50.0,85.0,80.0,90.0,60.0,100.0,100.0,85.0,85.0,50.0,95.0,95.0,50.0,100.0,90.0,100.0,100.0,100.0,100.0,85.0,100.0,15.0,95.0,85.0,85.0,85.0,95.0,100.0,95.0,95.0,75.0,10.0,50.0,10.0,100.0,100.0
2,65.0,98.0,95.0,90.0,100.0,100.0,95.0,0.0,100.0,100.0,100.0,95.0,95.0,25.0,40.0,85.0,80.0,90.0,60.0,100.0,100.0,85.0,92.0,60.0,95.0,90.0,60.0,100.0,90.0,100.0,98.0,100.0,100.0,85.0,100.0,35.0,95.0,85.0,85.0,87.0,95.0,98.0,95.0,95.0,70.0,10.0,60.0,10.0,100.0,100.0
3,60.0,98.0,100.0,100.0,98.0,100.0,95.0,0.0,100.0,100.0,100.0,90.0,90.0,30.0,40.0,85.0,85.0,90.0,50.0,100.0,100.0,80.0,85.0,60.0,95.0,90.0,60.0,100.0,95.0,100.0,100.0,98.0,100.0,90.0,100.0,35.0,95.0,85.0,85.0,85.0,95.0,100.0,95.0,95.0,75.0,10.0,50.0,10.0,100.0,100.0
4,70.0,100.0,100.0,95.0,98.0,100.0,95.0,0.0,100.0,100.0,100.0,85.0,90.0,25.0,50.0,85.0,80.0,90.0,50.0,100.0,95.0,80.0,85.0,50.0,95.0,90.0,50.0,100.0,90.0,100.0,100.0,98.0,95.0,90.0,100.0,30.0,98.0,85.0,70.0,85.0,95.0,98.0,95.0,95.0,85.0,10.0,60.0,10.0,100.0,100.0
5,60.0,100.0,95.0,95.0,100.0,95.0,95.0,0.0,100.0,100.0,100.0,95.0,90.0,30.0,50.0,85.0,80.0,90.0,50.0,100.0,100.0,85.0,90.0,70.0,95.0,90.0,60.0,98.0,90.0,100.0,100.0,98.0,100.0,88.0,100.0,25.0,95.0,85.0,85.0,80.0,95.0,100.0,95.0,95.0,70.0,10.0,50.0,10.0,100.0,100.0
6,50.0,98.0,100.0,95.0,98.0,100.0,95.0,0.0,100.0,100.0,100.0,90.0,90.0,20.0,50.0,85.0,80.0,90.0,60.0,100.0,100.0,90.0,85.0,60.0,95.0,95.0,70.0,100.0,95.0,100.0,100.0,100.0,100.0,85.0,100.0,30.0,95.0,85.0,80.0,85.0,95.0,98.0,95.0,95.0,75.0,10.0,60.0,10.0,100.0,100.0
7,65.0,98.0,95.0,100.0,98.0,100.0,98.0,0.0,100.0,100.0,100.0,90.0,90.0,30.0,50.0,85.0,85.0,90.0,50.0,100.0,100.0,85.0,88.0,65.0,95.0,90.0,60.0,98.0,90.0,100.0,100.0,100.0,100.0,90.0,100.0,30.0,95.0,85.0,80.0,85.0,95.0,98.0,95.0,95.0,75.0,10.0,60.0,10.0,100.0,100.0
8,65.0,98.0,100.0,95.0,100.0,100.0,95.0,0.0,100.0,100.0,100.0,90.0,85.0,30.0,50.0,85.0,85.0,90.0,45.0,100.0,100.0,85.0,88.0,60.0,95.0,95.0,50.0,100.0,90.0,100.0,100.0,100.0,100.0,90.0,100.0,30.0,98.0,85.0,80.0,85.0,95.0,98.0,95.0,95.0,75.0,10.0,50.0,10.0,100.0,100.0
9,55.0,98.0,100.0,95.0,98.0,100.0,98.0,0.0,100.0,100.0,100.0,90.0,90.0,30.0,60.0,85.0,80.0,90.0,60.0,100.0,100.0,85.0,85.0,60.0,95.0,90.0,40.0,100.0,90.0,100.0,100.0,98.0,100.0,85.0,100.0,30.0,95.0,85.0,85.0,85.0,95.0,98.0,95.0,90.0,75.0,10.0,50.0,10.0,100.0,100.0
10,60.0,98.0,100.0,95.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,90.0,85.0,30.0,50.0,85.0,80.0,90.0,50.0,100.0,100.0,85.0,85.0,60.0,95.0,90.0,60.0,100.0,90.0,98.0,98.0,100.0,100.0,90.0,100.0,20.0,95.0,85.0,80.0,85.0,95.0,100.0,95.0,95.0,85.0,10.0,60.0,10.0,100.0,100.0
