Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,55.0,100.0,100.0,98.0,98.0,100.0,75.0,75.0,98.0,98.0,100.0,40.0,98.0,95.0,95.0,95.0,98.0,85.0,98.0,95.0,100.0,0.0,95.0,85.0,95.0,85.0,100.0,100.0,100.0,100.0,95.0,98.0,95.0,100.0,95.0,70.0,95.0,85.0,100.0,85.0,50.0,98.0,98.0,100.0,85.0,88.0,90.0,70.0,98.0,85.0
2,65.0,98.0,100.0,100.0,98.0,100.0,80.0,80.0,100.0,95.0,100.0,30.0,95.0,95.0,98.0,90.0,98.0,85.0,95.0,95.0,98.0,0.0,90.0,75.0,90.0,90.0,100.0,100.0,100.0,98.0,95.0,98.0,95.0,100.0,100.0,80.0,95.0,75.0,100.0,85.0,70.0,100.0,100.0,100.0,85.0,90.0,85.0,60.0,98.0,90.0
3,60.0,100.0,98.0,100.0,100.0,98.0,82.0,84.0,98.0,100.0,100.0,30.0,95.0,95.0,95.0,90.0,95.0,85.0,98.0,95.0,100.0,0.0,95.0,85.0,85.0,85.0,98.0,100.0,99.0,100.0,95.0,97.0,95.0,100.0,100.0,85.0,90.0,85.0,100.0,85.0,70.0,98.0,100.0,100.0,80.0,94.0,92.0,60.0,100.0,90.0
4,55.0,100.0,100.0,100.0,100.0,100.0,75.0,95.0,100.0,100.0,100.0,50.0,95.0,90.0,98.0,93.0,100.0,85.0,100.0,95.0,95.0,0.0,90.0,75.0,95.0,85.0,98.0,100.0,100.0,100.0,98.0,98.0,95.0,100.0,100.0,85.0,95.0,85.0,100.0,90.0,70.0,97.0,100.0,100.0,85.0,90.0,95.0,65.0,98.0,85.0
5,65.0,98.0,98.0,100.0,98.0,100.0,75.0,90.0,100.0,100.0,100.0,35.0,95.0,95.0,95.0,95.0,100.0,85.0,99.0,95.0,100.0,95.0,90.0,70.0,95.0,85.0,98.0,100.0,100.0,95.0,95.0,98.0,95.0,100.0,100.0,87.0,95.0,85.0,100.0,90.0,70.0,100.0,98.0,98.0,85.0,85.0,90.0,60.0,100.0,85.0
6,65.0,100.0,100.0,100.0,100.0,98.0,85.0,0.0,98.0,100.0,100.0,45.0,95.0,95.0,95.0,95.0,100.0,85.0,100.0,95.0,100.0,95.0,90.0,70.0,90.0,90.0,98.0,100.0,98.0,100.0,98.0,98.0,95.0,98.0,100.0,80.0,92.0,80.0,100.0,85.0,70.0,100.0,98.0,100.0,80.0,90.0,90.0,65.0,98.0,90.0
7,60.0,98.0,100.0,100.0,100.0,100.0,75.0,85.0,100.0,100.0,100.0,60.0,95.0,95.0,98.0,95.0,100.0,85.0,100.0,95.0,100.0,0.0,90.0,60.0,85.0,75.0,98.0,100.0,100.0,98.0,100.0,98.0,90.0,100.0,100.0,80.0,95.0,85.0,100.0,90.0,75.0,100.0,97.0,100.0,85.0,90.0,90.0,60.0,98.0,85.0
8,60.0,98.0,100.0,100.0,98.0,95.0,85.0,85.0,100.0,100.0,100.0,60.0,95.0,94.0,95.0,95.0,100.0,85.0,100.0,94.0,100.0,0.0,95.0,79.0,95.0,85.0,97.0,100.0,100.0,100.0,95.0,100.0,95.0,100.0,100.0,75.0,94.0,84.0,100.0,90.0,60.0,100.0,98.0,98.0,80.0,90.0,90.0,65.0,98.0,85.0
9,60.0,98.0,98.0,100.0,100.0,100.0,70.0,85.0,100.0,98.0,98.0,40.0,95.0,95.0,95.0,90.0,100.0,85.0,100.0,95.0,100.0,0.0,93.0,75.0,95.0,85.0,100.0,100.0,98.0,98.0,98.0,100.0,95.0,100.0,100.0,85.0,95.0,80.0,100.0,90.0,75.0,100.0,100.0,100.0,85.0,90.0,85.0,65.0,98.0,88.0
10,60.0,100.0,100.0,100.0,98.0,98.0,75.0,85.0,100.0,100.0,100.0,30.0,95.0,95.0,95.0,90.0,100.0,85.0,100.0,95.0,100.0,95.0,90.0,66.0,85.0,90.0,100.0,100.0,100.0,100.0,95.0,98.0,95.0,100.0,95.0,75.0,95.0,80.0,100.0,85.0,68.0,100.0,98.0,100.0,85.0,95.0,90.0,60.0,98.0,80.0
