Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,35.0,85.0,100.0,100.0,95.0,90.0,97.0,98.0,100.0,95.0,100.0,98.0,85.0,20.0,20.0,60.0,100.0,93.0,85.0,100.0,95.0,95.0,85.0,65.0,100.0,90.0,85.0,80.0,90.0,95.0,95.0,85.0,85.0,100.0,95.0,85.0,95.0,85.0,10.0,85.0,10.0,95.0,100.0,85.0,50.0,55.0,60.0,70.0,100.0,95.0
2,30.0,95.0,95.0,95.0,90.0,95.0,95.0,100.0,98.0,95.0,100.0,60.0,100.0,90.0,50.0,100.0,100.0,95.0,60.0,100.0,100.0,97.0,85.0,40.0,100.0,65.0,85.0,85.0,95.0,100.0,100.0,90.0,85.0,100.0,95.0,85.0,95.0,85.0,95.0,98.0,65.0,30.0,100.0,50.0,80.0,85.0,60.0,75.0,85.0,95.0
3,30.0,90.0,95.0,95.0,95.0,95.0,95.0,100.0,98.0,100.0,100.0,90.0,85.0,85.0,20.0,98.0,80.0,95.0,60.0,100.0,95.0,10.0,90.0,65.0,100.0,50.0,90.0,80.0,75.0,100.0,100.0,90.0,85.0,100.0,100.0,95.0,95.0,85.0,40.0,85.0,10.0,45.0,100.0,80.0,50.0,85.0,70.0,98.0,100.0,95.0
4,30.0,95.0,100.0,95.0,0.0,100.0,85.0,98.0,98.0,95.0,100.0,95.0,85.0,5.0,20.0,100.0,80.0,95.0,60.0,100.0,100.0,100.0,95.0,20.0,100.0,90.0,85.0,80.0,100.0,96.0,100.0,70.0,85.0,98.0,95.0,85.0,95.0,85.0,95.0,80.0,10.0,100.0,100.0,80.0,85.0,85.0,60.0,100.0,100.0,95.0
5,30.0,95.0,100.0,95.0,95.0,100.0,95.0,100.0,95.0,98.0,95.0,100.0,80.0,90.0,10.0,100.0,80.0,95.0,20.0,100.0,95.0,98.0,85.0,85.0,100.0,90.0,85.0,90.0,100.0,95.0,0.0,85.0,85.0,100.0,95.0,85.0,95.0,85.0,50.0,80.0,65.0,95.0,100.0,10.0,50.0,50.0,70.0,98.0,55.0,95.0
6,20.0,85.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,98.0,95.0,95.0,85.0,50.0,85.0,100.0,85.0,92.0,50.0,100.0,95.0,90.0,90.0,10.0,100.0,70.0,85.0,90.0,95.0,100.0,0.0,80.0,85.0,95.0,100.0,85.0,95.0,85.0,95.0,100.0,20.0,95.0,100.0,20.0,98.0,50.0,60.0,10.0,85.0,95.0
7,30.0,90.0,100.0,95.0,98.0,95.0,95.0,100.0,100.0,95.0,100.0,100.0,90.0,95.0,40.0,100.0,90.0,95.0,98.0,100.0,95.0,95.0,90.0,40.0,100.0,95.0,85.0,90.0,100.0,95.0,0.0,60.0,85.0,100.0,98.0,95.0,95.0,85.0,70.0,85.0,100.0,97.0,100.0,70.0,98.0,75.0,60.0,95.0,60.0,95.0
8,25.0,95.0,95.0,95.0,95.0,95.0,98.0,98.0,100.0,99.0,100.0,90.0,85.0,50.0,50.0,100.0,85.0,95.0,85.0,100.0,100.0,98.0,85.0,45.0,100.0,70.0,80.0,85.0,95.0,100.0,0.0,60.0,85.0,100.0,95.0,95.0,95.0,85.0,10.0,85.0,30.0,100.0,100.0,50.0,80.0,75.0,10.0,98.0,75.0,95.0
9,30.0,95.0,95.0,95.0,95.0,95.0,98.0,100.0,100.0,97.0,100.0,100.0,80.0,80.0,20.0,90.0,98.0,95.0,95.0,100.0,95.0,98.0,90.0,45.0,100.0,50.0,85.0,100.0,95.0,95.0,0.0,80.0,85.0,100.0,95.0,85.0,95.0,85.0,10.0,100.0,98.0,95.0,100.0,95.0,85.0,85.0,60.0,75.0,50.0,100.0
10,40.0,90.0,100.0,100.0,95.0,95.0,98.0,90.0,100.0,98.0,100.0,100.0,85.0,85.0,10.0,100.0,90.0,95.0,10.0,100.0,95.0,95.0,85.0,75.0,100.0,80.0,98.0,80.0,95.0,100.0,0.0,85.0,85.0,100.0,100.0,85.0,95.0,90.0,10.0,75.0,10.0,98.0,100.0,70.0,50.0,80.0,10.0,90.0,40.0,95.0
