Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,60.0,99.0,100.0,100.0,100.0,95.0,85.0,90.0,100.0,97.0,100.0,60.0,100.0,90.0,95.0,90.0,100.0,80.0,100.0,95.0,95.0,95.0,90.0,85.0,95.0,90.0,98.0,100.0,100.0,100.0,95.0,95.0,95.0,100.0,98.0,75.0,100.0,75.0,95.0,85.0,60.0,98.0,100.0,100.0,80.0,50.0,95.0,75.0,100.0,85.0
2,65.0,100.0,100.0,100.0,100.0,100.0,98.0,90.0,100.0,100.0,100.0,70.0,100.0,95.0,95.0,90.0,100.0,85.0,99.0,95.0,100.0,0.0,90.0,90.0,95.0,85.0,100.0,100.0,100.0,98.0,95.0,98.0,95.0,100.0,95.0,85.0,90.0,80.0,95.0,85.0,60.0,95.0,97.0,100.0,85.0,95.0,95.0,75.0,98.0,85.0
3,60.0,100.0,100.0,100.0,100.0,100.0,80.0,70.0,100.0,98.0,98.0,60.0,95.0,90.0,95.0,85.0,98.0,85.0,97.0,95.0,100.0,0.0,95.0,84.0,95.0,85.0,98.0,100.0,100.0,100.0,100.0,99.0,90.0,100.0,100.0,75.0,95.0,85.0,95.0,85.0,60.0,98.0,100.0,100.0,85.0,80.0,90.0,60.0,99.0,90.0
4,65.0,100.0,100.0,100.0,100.0,100.0,82.0,90.0,100.0,98.0,100.0,40.0,95.0,90.0,85.0,90.0,100.0,85.0,98.0,100.0,100.0,0.0,95.0,75.0,95.0,90.0,98.0,100.0,100.0,100.0,98.0,95.0,95.0,95.0,98.0,75.0,95.0,75.0,95.0,85.0,65.0,100.0,98.0,100.0,85.0,85.0,98.0,65.0,100.0,75.0
5,60.0,100.0,100.0,100.0,95.0,100.0,85.0,100.0,100.0,100.0,100.0,50.0,100.0,90.0,95.0,90.0,98.0,90.0,100.0,95.0,100.0,0.0,95.0,90.0,100.0,100.0,98.0,100.0,100.0,100.0,95.0,100.0,95.0,95.0,100.0,90.0,100.0,85.0,100.0,85.0,50.0,100.0,98.0,98.0,85.0,80.0,95.0,70.0,100.0,85.0
6,60.0,100.0,98.0,100.0,100.0,98.0,95.0,80.0,100.0,98.0,100.0,40.0,100.0,95.0,95.0,95.0,100.0,90.0,90.0,95.0,95.0,95.0,90.0,85.0,90.0,85.0,100.0,100.0,100.0,100.0,97.0,100.0,97.0,100.0,98.0,85.0,100.0,78.0,95.0,85.0,70.0,98.0,98.0,100.0,85.0,70.0,95.0,60.0,100.0,85.0
7,50.0,100.0,100.0,100.0,100.0,100.0,92.0,70.0,98.0,98.0,100.0,50.0,100.0,90.0,95.0,92.0,100.0,85.0,100.0,90.0,90.0,95.0,90.0,85.0,98.0,95.0,98.0,90.0,100.0,100.0,100.0,95.0,95.0,100.0,100.0,75.0,98.0,85.0,100.0,85.0,50.0,98.0,100.0,100.0,85.0,70.0,95.0,50.0,98.0,85.0
8,70.0,100.0,100.0,100.0,100.0,100.0,95.0,85.0,100.0,100.0,100.0,50.0,98.0,95.0,98.0,90.0,100.0,87.0,98.0,95.0,100.0,0.0,90.0,90.0,95.0,80.0,100.0,100.0,100.0,95.0,95.0,95.0,95.0,98.0,100.0,75.0,95.0,80.0,95.0,85.0,40.0,100.0,100.0,100.0,78.0,70.0,90.0,60.0,100.0,85.0
9,40.0,99.0,100.0,100.0,100.0,100.0,85.0,85.0,100.0,100.0,100.0,60.0,90.0,94.0,85.0,90.0,95.0,87.0,97.0,98.0,100.0,0.0,90.0,88.0,85.0,90.0,98.0,100.0,98.0,100.0,95.0,95.0,95.0,100.0,98.0,70.0,98.0,80.0,100.0,85.0,70.0,100.0,98.0,100.0,80.0,85.0,90.0,60.0,90.0,85.0
10,55.0,100.0,100.0,100.0,98.0,100.0,80.0,85.0,100.0,98.0,98.0,50.0,95.0,95.0,95.0,90.0,100.0,90.0,90.0,95.0,100.0,0.0,95.0,85.0,95.0,95.0,98.0,98.0,98.0,100.0,95.0,100.0,95.0,100.0,95.0,70.0,90.0,85.0,95.0,85.0,70.0,98.0,98.0,98.0,85.0,90.0,95.0,70.0,95.0,85.0
