Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,30.0,100.0,100.0,100.0,0.0,100.0,85.0,0.0,0.0,98.0,100.0,100.0,100.0,0.0,95.0,40.0,100.0,95.0,95.0,95.0,100.0,95.0,90.0,25.0,90.0,100.0,30.0,100.0,100.0,0.0,0.0,90.0,90.0,100.0,100.0,100.0,90.0,85.0,95.0,80.0,98.0,100.0,98.0,100.0,98.0,95.0,100.0,100.0,100.0,100.0
2,30.0,100.0,100.0,100.0,0.0,100.0,98.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,95.0,40.0,100.0,90.0,95.0,95.0,100.0,95.0,90.0,40.0,90.0,100.0,85.0,98.0,100.0,0.0,0.0,90.0,90.0,100.0,100.0,97.0,95.0,85.0,90.0,85.0,98.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0
3,20.0,100.0,100.0,100.0,0.0,100.0,85.0,98.0,0.0,100.0,100.0,95.0,100.0,0.0,95.0,40.0,100.0,95.0,95.0,95.0,100.0,95.0,90.0,40.0,90.0,100.0,85.0,95.0,100.0,0.0,0.0,90.0,90.0,100.0,100.0,98.0,95.0,85.0,90.0,85.0,100.0,100.0,100.0,100.0,98.0,100.0,98.0,100.0,100.0,100.0
4,20.0,100.0,100.0,100.0,0.0,0.0,95.0,95.0,0.0,98.0,100.0,100.0,100.0,0.0,95.0,40.0,100.0,95.0,95.0,98.0,100.0,90.0,90.0,45.0,95.0,100.0,85.0,100.0,100.0,0.0,0.0,85.0,90.0,100.0,100.0,98.0,95.0,85.0,90.0,80.0,95.0,98.0,100.0,100.0,95.0,95.0,95.0,98.0,100.0,100.0
5,20.0,100.0,100.0,100.0,0.0,100.0,88.0,95.0,0.0,0.0,100.0,100.0,100.0,0.0,95.0,30.0,100.0,90.0,95.0,90.0,100.0,90.0,90.0,40.0,85.0,100.0,40.0,98.0,100.0,0.0,0.0,90.0,90.0,100.0,100.0,98.0,95.0,85.0,90.0,80.0,95.0,100.0,100.0,100.0,95.0,100.0,95.0,95.0,100.0,100.0
6,20.0,100.0,100.0,100.0,0.0,100.0,98.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,95.0,30.0,100.0,95.0,95.0,95.0,100.0,95.0,92.0,45.0,95.0,100.0,85.0,98.0,100.0,0.0,0.0,90.0,90.0,100.0,98.0,97.0,90.0,85.0,95.0,85.0,95.0,100.0,100.0,100.0,98.0,100.0,100.0,98.0,100.0,100.0
7,20.0,100.0,100.0,100.0,0.0,100.0,85.0,95.0,0.0,100.0,100.0,100.0,100.0,0.0,95.0,45.0,100.0,95.0,95.0,95.0,100.0,95.0,90.0,35.0,95.0,100.0,85.0,98.0,100.0,0.0,0.0,90.0,90.0,100.0,98.0,98.0,95.0,85.0,90.0,85.0,98.0,100.0,100.0,98.0,97.0,95.0,100.0,100.0,100.0,100.0
8,25.0,100.0,100.0,100.0,0.0,100.0,85.0,100.0,0.0,100.0,100.0,98.0,100.0,0.0,95.0,40.0,100.0,95.0,95.0,95.0,100.0,90.0,90.0,30.0,90.0,100.0,85.0,100.0,100.0,0.0,0.0,90.0,90.0,100.0,100.0,100.0,95.0,85.0,90.0,85.0,98.0,100.0,95.0,100.0,98.0,95.0,95.0,100.0,100.0,100.0
9,30.0,100.0,100.0,100.0,0.0,100.0,85.0,95.0,0.0,100.0,100.0,100.0,100.0,0.0,95.0,30.0,100.0,95.0,95.0,95.0,100.0,95.0,90.0,30.0,90.0,100.0,85.0,100.0,100.0,0.0,0.0,90.0,95.0,100.0,98.0,95.0,95.0,85.0,90.0,80.0,95.0,100.0,100.0,100.0,98.0,95.0,100.0,100.0,100.0,100.0
10,10.0,100.0,100.0,100.0,0.0,100.0,98.0,95.0,0.0,100.0,100.0,98.0,100.0,0.0,95.0,40.0,100.0,95.0,95.0,90.0,100.0,95.0,90.0,30.0,90.0,100.0,85.0,100.0,100.0,0.0,0.0,90.0,90.0,100.0,100.0,98.0,90.0,85.0,90.0,85.0,100.0,100.0,100.0,100.0,95.0,100.0,98.0,100.0,100.0,100.0
11,20.0,100.0,98.0,100.0,0.0,100.0,98.0,100.0,0.0,98.0,100.0,98.0,100.0,0.0,95.0,40.0,100.0,95.0,90.0,95.0,100.0,95.0,90.0,40.0,90.0,100.0,85.0,98.0,100.0,0.0,0.0,90.0,95.0,100.0,100.0,98.0,95.0,85.0,95.0,85.0,98.0,100.0,100.0,100.0,98.0,95.0,98.0,100.0,100.0,100.0
